Date,Flight_No,Origin,Destination,Aircraft_Type,Capacity_KG,Booked_KG,Loaded_KG,Offloaded_KG,Revenue_INR,Delay_Minutes
2025-01-17,AI200,CCU,BLR,A321,20000,13000,12235,765,647618,71
2025-03-21,AI201,DEL,HYD,A320,18000,14900,14145,755,694364,28
2025-01-23,AI202,BOM,BLR,B787,35000,28030,26632,1398,1624948,9
2025-04-16,AI203,DEL,BOM,B787,35000,33082,30632,2450,1414734,72
2025-09-18,AI204,CCU,BLR,A321,20000,15717,14676,1041,702135,26
2025-01-05,AI205,DEL,HYD,A321,20000,13225,12744,481,649560,87
2025-08-05,AI206,BOM,BLR,A320,18000,14487,13425,1062,745033,57
2025-08-26,AI207,CCU,BLR,B787,35000,33265,31299,1966,1792768,74
2025-04-01,AI208,CCU,DEL,A320,18000,14159,13714,445,630831,77
2025-12-08,AI209,DEL,HYD,A320,18000,16406,15127,1279,844325,75
2025-05-26,AI210,DEL,HYD,B787,35000,27111,25963,1148,1348915,82
2025-10-25,AI211,CCU,DEL,A321,20000,18829,18144,685,943088,20
2025-03-20,AI212,CCU,DEL,B787,35000,27694,27348,346,1570702,10
2025-08-17,AI213,CCU,DEL,B787,35000,27136,26414,722,1347832,5
2025-02-19,AI214,DEL,BOM,A320,18000,15137,13935,1202,880283,84
2025-08-01,AI215,BOM,BLR,A320,18000,17220,16675,545,807850,25
2025-09-28,AI216,DEL,BOM,B787,35000,30798,28476,2322,1400203,9
2025-06-09,AI217,BOM,BLR,A320,18000,11818,10894,924,543874,49
2025-01-11,AI218,DEL,BOM,A321,20000,16648,16297,351,763206,66
2025-02-03,AI219,CCU,DEL,A320,18000,16455,15406,1049,812777,48
2025-11-09,AI220,CCU,DEL,A321,20000,15827,14961,866,686575,32
2025-04-25,AI221,CCU,DEL,A320,18000,15935,15284,651,777759,20
2025-12-27,AI222,DEL,HYD,A320,18000,12139,11297,842,720457,7
2025-05-05,AI223,CCU,BLR,A320,18000,16101,15149,952,979157,67
2025-06-16,AI224,CCU,DEL,A321,20000,17297,15961,1336,961673,87
2025-02-05,AI225,CCU,DEL,A321,20000,13721,12763,958,629381,78
2025-10-11,AI226,DEL,BOM,A320,18000,12094,11439,655,562838,25
2025-01-23,AI227,CCU,DEL,A320,18000,12266,11407,859,644856,19
2025-05-24,AI228,DEL,BOM,A321,20000,15141,14701,440,878182,21
2025-08-15,AI229,DEL,HYD,A320,18000,13092,12609,483,707781,25
2025-06-23,AI230,DEL,HYD,B787,35000,26151,24364,1787,1547689,76
2025-08-12,AI231,DEL,HYD,A320,18000,17421,16239,1182,955887,38
2025-11-25,AI232,CCU,BLR,A321,20000,19344,18248,1096,859623,52
2025-01-27,AI233,DEL,BOM,B787,35000,28922,27178,1744,1710192,64
2025-04-16,AI234,BOM,BLR,B787,35000,27716,26170,1546,1243873,70
2025-11-22,AI235,DEL,HYD,A320,18000,15225,14469,756,719186,57
2025-11-12,AI236,CCU,DEL,A321,20000,14262,13708,554,621211,16
2025-03-22,AI237,CCU,BLR,A321,20000,18725,18257,468,851599,46
2025-10-26,AI238,CCU,DEL,A321,20000,17145,16116,1029,966967,40
2025-10-08,AI239,BOM,BLR,A321,20000,17607,17263,344,1008431,2
2025-09-22,AI240,BOM,BLR,A320,18000,11837,11330,507,637076,16
2025-07-07,AI241,DEL,HYD,A321,20000,17518,16452,1066,812684,87
2025-02-07,AI242,CCU,BLR,B787,35000,30404,28546,1858,1772648,22
2025-05-07,AI243,DEL,BOM,B787,35000,29362,28519,843,1723051,50
2025-09-09,AI244,CCU,DEL,A320,18000,13944,12906,1038,790326,30
2025-02-11,AI245,BOM,BLR,A321,20000,14236,13617,619,742168,75
2025-09-15,AI246,DEL,BOM,A320,18000,17142,16862,280,796186,81
2025-01-05,AI247,BOM,BLR,A320,18000,11752,11227,525,598589,27
2025-01-01,AI248,BOM,BLR,A320,18000,12305,11764,541,565300,74
2025-01-12,AI249,DEL,HYD,A321,20000,13954,13571,383,854718,44
2025-05-08,AI250,CCU,DEL,A320,18000,12179,11504,675,661394,34
2025-01-27,AI251,BOM,BLR,A321,20000,15121,13961,1160,840243,5
2025-06-08,AI252,BOM,BLR,A321,20000,16863,16658,205,854140,78
2025-10-04,AI253,DEL,BOM,A320,18000,16431,15629,802,1012906,54
2025-06-19,AI254,DEL,BOM,A320,18000,17053,16335,718,801413,70
2025-03-05,AI255,DEL,HYD,A321,20000,18339,17460,879,841709,39
2025-11-13,AI256,DEL,HYD,A320,18000,13877,13604,273,744839,7
2025-07-20,AI257,DEL,HYD,A321,20000,19532,18248,1284,916842,22
2025-07-07,AI258,CCU,BLR,A320,18000,16926,16123,803,823198,29
2025-10-14,AI259,BOM,BLR,A320,18000,12226,11389,837,628932,86
2025-07-25,AI260,CCU,DEL,B787,35000,23123,22421,702,1046099,11
2025-04-11,AI261,DEL,BOM,A320,18000,14245,13214,1031,697125,82
2025-01-17,AI262,CCU,DEL,A320,18000,16724,15888,836,914035,71
2025-09-22,AI263,DEL,HYD,A321,20000,17488,16803,685,877458,21
2025-12-26,AI264,DEL,HYD,A320,18000,16136,15356,780,837845,68
2025-11-08,AI265,CCU,DEL,B787,35000,31753,31422,331,1437511,5
2025-08-16,AI266,BOM,BLR,A321,20000,13019,12844,175,761831,1
2025-02-22,AI267,DEL,HYD,A321,20000,18978,18774,204,1186251,38
2025-04-01,AI268,DEL,HYD,A320,18000,12730,11818,912,566505,5
2025-01-01,AI269,CCU,DEL,A321,20000,14858,14700,158,753953,24
2025-01-26,AI270,DEL,BOM,B787,35000,23267,21777,1490,1292194,42
2025-02-20,AI271,DEL,BOM,A321,20000,15151,14850,301,873247,13
2025-04-01,AI272,CCU,BLR,A320,18000,11755,11289,466,624793,34
2025-05-25,AI273,DEL,BOM,B787,35000,23436,23015,421,1210058,50
2025-06-28,AI274,CCU,DEL,A321,20000,15352,14286,1066,672015,33
2025-07-24,AI275,CCU,BLR,A320,18000,16922,16134,788,814918,39
2025-01-17,AI276,CCU,DEL,A321,20000,14153,13586,567,833320,78
2025-06-18,AI277,DEL,HYD,A320,18000,16238,15651,587,764852,46
2025-02-08,AI278,CCU,BLR,B787,35000,26444,25447,997,1356728,14
2025-07-27,AI279,CCU,BLR,A321,20000,17413,16601,812,864250,12
2025-12-24,AI280,DEL,BOM,A321,20000,17049,16066,983,823547,15
2025-11-21,AI281,DEL,HYD,A320,18000,14449,13935,514,697662,65
2025-11-16,AI282,CCU,DEL,A320,18000,11807,11432,375,544239,1
2025-09-13,AI283,DEL,BOM,A321,20000,18345,16893,1452,1014799,39
2025-03-20,AI284,BOM,BLR,A320,18000,16497,15298,1199,942479,32
2025-06-02,AI285,CCU,DEL,A320,18000,14211,13875,336,693063,51
2025-06-19,AI286,BOM,BLR,A321,20000,14911,14525,386,888261,9
2025-12-06,AI287,DEL,HYD,B787,35000,27947,27621,326,1333038,82
2025-04-28,AI288,DEL,BOM,A320,18000,12546,11873,673,560624,8
2025-08-25,AI289,DEL,HYD,A320,18000,15773,15175,598,839995,82
2025-03-24,AI290,BOM,BLR,A321,20000,17078,15832,1246,752403,52
2025-02-09,AI291,DEL,BOM,A321,20000,19170,18351,819,946478,2
2025-01-01,AI292,DEL,BOM,A321,20000,17978,16804,1174,1078893,3
2025-02-12,AI293,DEL,BOM,B787,35000,23268,21993,1275,1396742,74
2025-07-02,AI294,CCU,BLR,A321,20000,17944,17093,851,837545,56
2025-06-16,AI295,DEL,BOM,A320,18000,14852,14177,675,696502,31
2025-03-13,AI296,BOM,BLR,A321,20000,14726,13915,811,845350,47
2025-03-26,AI297,DEL,BOM,B787,35000,24796,23805,991,1445971,17
2025-02-19,AI298,BOM,BLR,A320,18000,14973,14002,971,832535,64
2025-06-19,AI299,DEL,HYD,B787,35000,26627,25810,817,1269227,52
2025-07-05,AI200,DEL,BOM,B787,35000,27550,25522,2028,1265306,29
2025-08-20,AI201,DEL,HYD,A321,20000,13215,12861,354,624275,43
2025-03-23,AI202,BOM,BLR,A321,20000,17602,16197,1405,1019250,88
2025-08-07,AI203,CCU,BLR,A320,18000,13817,13591,226,663900,18
2025-11-07,AI204,DEL,HYD,A320,18000,15440,15231,209,826809,87
2025-04-15,AI205,CCU,BLR,A321,20000,15281,14780,501,932591,85
2025-11-04,AI206,DEL,BOM,B787,35000,27920,27219,701,1742033,85
2025-01-14,AI207,BOM,BLR,B787,35000,29743,28959,784,1524422,11
2025-09-04,AI208,CCU,DEL,A321,20000,19222,18381,841,1138864,59
2025-09-28,AI209,BOM,BLR,A321,20000,19262,18562,700,1065211,68
2025-05-04,AI210,DEL,HYD,A320,18000,17320,15945,1375,992165,28
2025-05-13,AI211,DEL,HYD,B787,35000,29848,28572,1276,1797733,38
2025-05-26,AI212,CCU,BLR,B787,35000,27584,26696,888,1471345,64
2025-11-18,AI213,BOM,BLR,B787,35000,25269,24241,1028,1434493,22
2025-01-27,AI214,CCU,DEL,A320,18000,11783,11019,764,509798,20
2025-03-07,AI215,BOM,BLR,A320,18000,15570,14481,1089,917372,62
2025-08-03,AI216,BOM,BLR,B787,35000,26449,26152,297,1373027,36
2025-02-01,AI217,DEL,BOM,A321,20000,14663,14303,360,745904,20
2025-08-11,AI218,DEL,HYD,A320,18000,13230,12719,511,696472,13
2025-05-12,AI219,CCU,BLR,B787,35000,25602,24547,1055,1338914,13
2025-06-19,AI220,BOM,BLR,A321,20000,14506,13359,1147,851898,46
2025-04-08,AI221,DEL,BOM,A321,20000,18984,18490,494,895447,64
2025-06-16,AI222,BOM,BLR,A321,20000,13217,12605,612,702732,8
2025-12-10,AI223,CCU,BLR,A320,18000,12631,11964,667,579043,40
2025-09-15,AI224,BOM,BLR,A321,20000,18777,17516,1261,938483,21
2025-11-22,AI225,CCU,DEL,A321,20000,18464,18080,384,967872,18
2025-09-24,AI226,CCU,BLR,A320,18000,14727,13854,873,809516,72
2025-03-28,AI227,DEL,HYD,A320,18000,11763,11631,132,632960,68
2025-11-21,AI228,CCU,DEL,B787,35000,30267,27980,2287,1534265,47
2025-08-26,AI229,CCU,DEL,A320,18000,17588,16246,1342,975372,49
2025-03-13,AI230,DEL,HYD,A321,20000,18989,18324,665,1069555,77
2025-10-16,AI231,CCU,BLR,A321,20000,15246,14875,371,825761,40
